model_path,folder,val_loss,val_acc,time_per_image,throughput,nums_trainable_parameters
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,masked,0.7231979283416036,0.7986138613861387,0.0027964595945754855,357.59501118477783,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,clean,0.6908867547231735,0.8064554455445545,0.0028116679616493755,355.66077276542353,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,downsampled,3.322537910348118,0.2563960396039604,0.002800462250662322,357.0839063313549,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_medium,2.084309073438739,0.47615841584158414,0.002814058738179726,355.3586094108505,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_little,1.1349694993472335,0.696039603960396,0.00280383824830008,356.6539548443221,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,noise_rotation,0.9123587133624766,0.748990099009901,0.002800655034509036,357.0593263640923,153729
model_weights/final_checkpoint_efficientnet_lora.pt,masked,0.5670065381336349,0.8395247524752475,0.0021193743129767992,471.83736911269574,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,clean,0.5348172701384669,0.8494257425742574,0.002119157394560257,471.88566671212664,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,downsampled,3.4359686737249393,0.23976237623762375,0.0021197988585670395,471.7428712439202,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,blur_medium,1.758488545578305,0.5474059405940594,0.0021218331591917735,471.29058930387794,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,blur_little,0.8814195636754284,0.7582574257425743,0.0021210033492286605,471.474974503773,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,noise_rotation,0.8388447472843904,0.772,0.002119458831182801,471.8185535323338,1511997
